company_id,type,rule_id,text,confidence_pct
ABB,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.02 and should be tracked alongside future results",61.0
ABB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ABB,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,95.4
ABB,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,86.3
ABB,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,86.3
ABB,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,82.0
ABB,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,78.3
ABB,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.0
ABB,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,70.4
ADANIENSOL,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,89.0
ADANIENSOL,con,CON-01,Debt-to-equity ratio of 2.93 is elevated for a non-financial company and warrants monitoring,79.3
ADANIENSOL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.2
ADANIENSOL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,74.5
ADANIENSOL,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.6
ADANIENT,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
ADANIENT,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,78.1
ADANIENT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
ADANIENT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
ADANIENT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,93.4
ADANIENT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,80.0
ADANIENT,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74.4
ADANIGREEN,con,CON-01,Debt-to-equity ratio of 6.60 is elevated for a non-financial company and warrants monitoring,100.0
ADANIGREEN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,80.2
ADANIGREEN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,100.0
ADANIGREEN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.94 and should be tracked alongside future results",61.0
ADANIPORTS,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
ADANIPORTS,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,79.4
ADANIPORTS,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,77.0
ADANIPORTS,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,75.3
ADANIPOWER,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.80 and should be tracked alongside future results",61.0
ADANIPOWER,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
ADANIPOWER,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98.0
ADANIPOWER,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,95.7
ADANIPOWER,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,91.8
ADANIPOWER,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,82.3
ADANIPOWER,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69.7
AMBUJACEM,con,CON-12,Revenue growing at below 5% over 5 years lags normal growth expectations and suggests limited business momentum,72.6
AMBUJACEM,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,91.9
AMBUJACEM,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.6
APOLLOHOSP,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.77 and should be tracked alongside future results",61.0
APOLLOHOSP,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
APOLLOHOSP,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,90.6
APOLLOHOSP,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,90.4
APOLLOHOSP,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,86.0
APOLLOHOSP,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,77.8
ASIANPAINT,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,68.3
ASIANPAINT,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
ASIANPAINT,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98.0
ASIANPAINT,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,84.7
ASIANPAINT,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,80.5
ASIANPAINT,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78.3
ASIANPAINT,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,77.0
ASIANPAINT,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,71.4
ASIANPAINT,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,68.4
ATGL,con,CON-FALLBACK,"No major con rule was triggered, but limited comparable financial data remains a monitoring risk until additional history becomes available",61.0
ATGL,pro,PRO-FALLBACK,"Limited comparable financial data is available; no major positive threshold was triggered, but the company remains covered for further review",61.0
AXISBANK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
AXISBANK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,94.4
AXISBANK,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
AXISBANK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
AXISBANK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,98.2
AXISBANK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,95.5
BAJAJ-AUTO,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,69.1
BAJAJ-AUTO,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJAJ-AUTO,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,86.0
BAJAJ-AUTO,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,80.7
BAJAJ-AUTO,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,75.7
BAJAJ-AUTO,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.1
BAJAJFINSV,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
BAJAJFINSV,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,82.1
BAJAJFINSV,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,83.6
BAJAJFINSV,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,78.0
BAJAJFINSV,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,77.6
BAJAJFINSV,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,76.4
BAJAJFINSV,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,73.2
BAJAJFINSV,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.7
BAJAJHLDNG,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93.6
BAJAJHLDNG,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJAJHLDNG,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,100.0
BAJAJHLDNG,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,96.0
BAJAJHLDNG,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BAJAJHLDNG,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,94.6
BAJAJHLDNG,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,79.0
BAJAJHLDNG,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,77.9
BAJAJHLDNG,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,74.0
BAJFINANCE,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,100.0
BAJFINANCE,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,89.5
BAJFINANCE,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BAJFINANCE,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BAJFINANCE,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,86.8
BAJFINANCE,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83.0
BAJFINANCE,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,81.0
BAJFINANCE,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,74.4
BANKBARODA,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BANKBARODA,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,93.9
BANKBARODA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BANKBARODA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
BANKBARODA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BANKBARODA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BANKBARODA,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,84.2
BANKBARODA,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,72.0
BEL,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.51 and should be tracked alongside future results",61.0
BEL,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BEL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
BEL,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,100.0
BEL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,75.1
BHARTIARTL,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
BHARTIARTL,con,CON-01,Debt-to-equity ratio of 2.61 is elevated for a non-financial company and warrants monitoring,76.1
BHARTIARTL,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
BHARTIARTL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
BHARTIARTL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
BHARTIARTL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,93.7
BHARTIARTL,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,72.3
BHEL,con,CON-12,Revenue growing at below 5% over 5 years lags normal growth expectations and suggests limited business momentum,99.2
BHEL,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,97.8
BHEL,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,71.2
BHEL,pro,PRO-FALLBACK,No high-conviction pro rule was triggered; the strongest available financial signal is Operating margin at 3.0%,61.0
BOSCHLTD,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, ROE is 20.6% and should be tracked alongside future results",61.0
BOSCHLTD,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98.0
BOSCHLTD,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,96.0
BOSCHLTD,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
BOSCHLTD,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,95.0
BOSCHLTD,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,88.5
BOSCHLTD,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,85.8
BOSCHLTD,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,70.4
BPCL,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.72 and should be tracked alongside future results",61.0
BPCL,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,95.4
BPCL,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,87.6
BPCL,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,83.4
BPCL,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,76.1
BPCL,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.6
BRITANNIA,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.52 and should be tracked alongside future results",61.0
BRITANNIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
BRITANNIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,82.7
BRITANNIA,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,74.0
BRITANNIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73.4
CANBK,con,CON-11,Net debt exceeding 3 times EBITDA is a high leverage ratio and limits financial flexibility,100.0
CANBK,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,92.7
CANBK,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,100.0
CANBK,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100.0
CANBK,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100.0
CANBK,pro,PRO-10,Return on equity improving for 3 consecutive years shows strengthening business quality,85.8
CANBK,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,82.5
CANBK,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73.1
CHOLAFIN,con,CON-02,Free cash flow negative for 3 consecutive years raises concern about cash generation quality,99.9
CHOLAFIN,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,91.9
CHOLAFIN,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,85.7
CHOLAFIN,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CHOLAFIN,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,83.5
CHOLAFIN,pro,PRO-04,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,79.1
CHOLAFIN,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.9
CHOLAFIN,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,72.7
CHOLAFIN,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,68.4
CIPLA,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.02 and should be tracked alongside future results",61.0
CIPLA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
CIPLA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100.0
CIPLA,pro,PRO-12,Growing asset base funded with declining debt reflects increasingly self-sustaining growth,98.0
CIPLA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,90.0
CIPLA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88.5
CIPLA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,78.2
CIPLA,pro,PRO-06,Net profit compounding at above 20% over 5 years creates significant shareholder value,71.8
COALINDIA,con,CON-FALLBACK,"No major con rule was triggered; as a monitoring watchpoint, debt-to-equity is 0.08 and should be tracked alongside future results",61.0
COALINDIA,pro,PRO-01,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100.0
COALINDIA,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,100.0
COALINDIA,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98.0
COALINDIA,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,87.0
COALINDIA,pro,PRO-11,Revenue growing slower than profits shows improving operating leverage and scale benefits,81.4
COALINDIA,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,71.5
COALINDIA,pro,PRO-09,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70.8
DABUR,con,CON-08,Rising debt-to-equity ratio over 3 years suggests increasing financial leverage risk,68.3
DABUR,pro,PRO-02,Strong free cash flow generation over 5 years signals healthy business fundamentals,98.0
DABUR,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,85.9
DABUR,pro,PRO-08,Consistent dividend yield above 2% backed by positive free cash flow,79.4
DIVISLAB,con,CON-03,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,100.0
DIVISLAB,con,CON-09,Earnings per share declining for 3 consecutive years reflects deteriorating profitability,100.0
DIVISLAB,pro,PRO-03,Debt-free balance sheet provides financial flexibility and eliminates interest burden,96.0
DIVISLAB,pro,PRO-07,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95.0
DIVISLAB,pro,PRO-05,Operating profit margin above 25% indicates strong pricing power and cost discipline,71.9
DLF,con,CON-12,Revenue growing at below 5% over 5 years lags normal growth expectations and suggests limited business momentum,100.0
DLF,con,CON-10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,88.6
